Team,PredictedGold2028,PredictedTotal2028,Gold_lower95,Gold_upper95,Total_lower95,Total_upper95,ActualGold2024,ActualTotal2024,DeltaGold,DeltaTotal
DMA,0.22920950972897847,1.0836597260420564,-6.770790490271022,7.229209509728978,-13.916340273957944,16.083659726042058,1.0,1.0,-0.7707904902710215,0.0836597260420564
MNE,0.2258607129857188,0.14058880980161073,-6.774139287014282,7.225860712985718,-14.85941119019839,15.14058880980161,0.0,0.0,0.2258607129857188,0.14058880980161073
BAH,0.2258607129857188,0.14058880980161073,-6.774139287014282,7.225860712985718,-14.85941119019839,15.14058880980161,0.0,0.0,0.2258607129857188,0.14058880980161073
FIN,0.21157036124766293,0.21712759194352696,-6.788429638752337,7.211570361247663,-14.782872408056473,15.217127591943527,0.0,0.0,0.21157036124766293,0.21712759194352696
VEN,0.16641509018301445,0.11658646034384869,-6.833584909816985,7.166415090183015,-14.883413539656152,15.116586460343848,0.0,0.0,0.16641509018301445,0.11658646034384869
ZAM,0.16641509018301445,1.4978655160677468,-6.833584909816985,7.166415090183015,-13.502134483932252,16.497865516067748,0.0,1.0,0.16641509018301445,0.49786551606774676
EOR,0.15234360615557785,3.165292583267422,-6.847656393844423,7.152343606155577,-11.834707416732577,18.165292583267423,0.0,1.0,0.15234360615557785,2.165292583267422
EST,0.1462480472535963,0.08770360505156576,-6.8537519527464035,7.1462480472535965,-14.912296394948434,15.087703605051566,0.0,0.0,0.1462480472535963,0.08770360505156576
MLI,0.1462480472535963,0.08770360505156576,-6.8537519527464035,7.1462480472535965,-14.912296394948434,15.087703605051566,0.0,0.0,0.1462480472535963,0.08770360505156576
SAM,0.1462480472535963,0.08770360505156576,-6.8537519527464035,7.1462480472535965,-14.912296394948434,15.087703605051566,0.0,0.0,0.1462480472535963,0.08770360505156576
IRQ,0.14145406684791356,0.09261031325709065,-6.858545933152087,7.141454066847913,-14.90738968674291,15.09261031325709,0.0,0.0,0.14145406684791356,0.09261031325709065
PAR,0.13666861142198425,0.09627780541362037,-6.863331388578016,7.136668611421984,-14.90372219458638,15.09627780541362,0.0,0.0,0.13666861142198425,0.09627780541362037
LAT,0.13666861142198425,0.09627780541362037,-6.863331388578016,7.136668611421984,-14.90372219458638,15.09627780541362,0.0,0.0,0.13666861142198425,0.09627780541362037
ANG,0.13544413943340985,0.08770360505156576,-6.86455586056659,7.13544413943341,-14.912296394948434,15.087703605051566,0.0,0.0,0.13544413943340985,0.08770360505156576
GUI,0.13544413943340985,0.08770360505156576,-6.86455586056659,7.13544413943341,-14.912296394948434,15.087703605051566,0.0,0.0,0.13544413943340985,0.08770360505156576
URU,0.1315884712775129,0.08787188954485024,-6.868411528722487,7.131588471277513,-14.91212811045515,15.08787188954485,0.0,0.0,0.1315884712775129,0.08787188954485024
MDA,0.12992180461084624,2.7718717445555403,-6.870078195389154,7.129921804610846,-12.22812825544446,17.77187174455554,0.0,4.0,0.12992180461084624,-1.2281282554444597
MAS,0.12992180461084624,4.116244640921795,-6.870078195389154,7.129921804610846,-10.883755359078204,19.116244640921796,0.0,2.0,0.12992180461084624,2.1162446409217948
MRI,0.08190829608554845,0.05685918113832408,-6.918091703914452,7.081908296085548,-14.943140818861677,15.056859181138323,0.0,0.0,0.08190829608554845,0.05685918113832408
VIE,0.08023409531519866,0.11583386658655538,-6.919765904684802,7.080234095315198,-14.884166133413444,15.115833866586556,0.0,0.0,0.08023409531519866,0.11583386658655538
CYP,0.08023409531519866,1.4602525101219137,-6.919765904684802,7.080234095315198,-13.539747489878087,16.460252510121915,0.0,1.0,0.08023409531519866,0.4602525101219137
SSD,0.07709166516575099,0.07878970810945432,-6.922908334834249,7.077091665165751,-14.921210291890546,15.078789708109454,0.0,0.0,0.07709166516575099,0.07878970810945432
LUX,0.07276365364465731,0.06421732293583854,-6.927236346355342,7.072763653644658,-14.93578267706416,15.06421732293584,0.0,0.0,0.07276365364465731,0.06421732293583854
UAE,0.07276365364465731,0.06421732293583854,-6.927236346355342,7.072763653644658,-14.93578267706416,15.06421732293584,0.0,0.0,0.07276365364465731,0.06421732293583854
SEN,0.04498617566982228,0.05571698245805512,-6.955013824330178,7.044986175669822,-14.944283017541945,15.055716982458055,0.0,0.0,0.04498617566982228,0.05571698245805512
ERI,0.04498617566982228,0.05571698245805512,-6.955013824330178,7.044986175669822,-14.944283017541945,15.055716982458055,0.0,0.0,0.04498617566982228,0.05571698245805512
BUR,0.03585719803355934,0.053145913142760494,-6.964142801966441,7.035857198033559,-14.94685408685724,15.05314591314276,0.0,0.0,0.03585719803355934,0.053145913142760494
